,Lng,Lat,tradeTime,DOM,totalPrice,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,subway,district,distanceToCapital
27,116.257104,39.873962,2016-08-21,573.0,140.0,55.0,1,0,1,1,9,2011,hardcover,steel-concrete composite,0.098,has elevator,has subway,2,13.256525753216218
28,116.567579,40.076173,2016-08-30,580.0,340.0,141.5,3,2,1,2,12,2004,hardcover,mixed,0.25,has elevator,no subway,13,23.492265072434314
29,116.493655,39.905367,2016-08-26,569.0,540.0,91.7,2,2,1,1,27,2006,hardcover,steel-concrete composite,0.429,has elevator,has subway,7,7.358611342402243
30,116.297022,39.788637,2016-06-25,507.0,110.0,40.45,1,1,1,1,7,2002,Simplicity,mixed,0.5,no elevator,no subway,4,15.93483884889316
31,116.4388,40.054941,2016-07-28,516.0,340.0,53.0,1,1,1,1,17,2011,hardcover,steel-concrete composite,0.174,has elevator,has subway,7,16.973838291632624
32,116.190634,39.768886,2016-08-05,524.0,245.0,80.0,2,1,1,1,9,2012,hardcover,steel-concrete composite,0.5,has elevator,has subway,5,23.852616063898925
33,116.330345,39.984336,2016-08-14,533.0,610.0,58.9,2,1,1,1,6,1989,hardcover,mixed,0.3329999999999999,no elevator,has subway,8,11.070313758620365
34,116.254212,40.216336,2016-07-22,507.0,224.5,118.0,2,2,1,2,6,1998,Simplicity,mixed,0.5,no elevator,no subway,6,37.075710811845425
35,116.60292,39.909042,2016-08-30,540.0,435.0,87.87,2,1,1,1,18,2011,other,steel-concrete composite,0.667,has elevator,no subway,7,16.685903359300973
36,116.324898,39.891441,2016-09-05,544.0,410.0,77.1,3,1,1,1,24,1991,Simplicity,steel-concrete composite,0.25,has elevator,has subway,2,7.179626398284365
37,116.232119,40.223852,2016-09-04,539.0,240.0,83.38,1,1,1,1,15,2009,Simplicity,steel-concrete composite,0.143,has elevator,has subway,6,38.54680545877007
38,116.683117,40.127185,2016-08-26,530.0,470.0,142.95,3,2,1,2,5,2004,hardcover,mixed,0.5,has elevator,no subway,13,34.14827123330822
39,116.45831,39.923422,2016-08-24,520.0,355.0,61.55,1,0,1,1,29,2008,hardcover,steel-concrete composite,0.231,has elevator,has subway,7,4.839567670913541
40,116.422479,40.06389,2016-07-31,494.0,190.0,60.82,1,1,1,1,19,2004,Simplicity,steel-concrete composite,0.15,has elevator,has subway,6,17.803155906469605
41,116.254212,40.216336,2016-08-31,526.0,321.0,156.41,3,1,1,2,5,2001,hardcover,steel-concrete composite,0.25,no elevator,no subway,6,37.075710811845425
42,116.318694,40.087485,2016-07-04,467.0,350.0,125.66,3,1,1,2,9,2008,Simplicity,steel-concrete composite,0.5,has elevator,no subway,6,21.736151350926413
43,116.164506,39.731851,2016-08-12,503.0,198.0,96.0,3,1,1,1,6,2004,Simplicity,mixed,0.5,no elevator,has subway,5,28.242157908688164
44,116.665923,40.186753,2016-08-31,523.0,500.0,113.26,3,2,1,2,11,2012,hardcover,steel-concrete composite,0.3329999999999999,has elevator,no subway,13,38.35884232907623
45,116.314388,39.972347,2016-08-19,508.0,655.0,151.8,2,1,1,1,22,1998,Simplicity,steel-concrete composite,0.286,has elevator,has subway,8,10.968332064630534
46,116.284755,39.93453,2017-03-22,721.0,280.0,41.5,1,0,1,1,19,2009,hardcover,steel-concrete composite,0.111,has elevator,has subway,8,10.98955940262434
47,116.413046,40.056407,2016-07-15,470.0,346.0,98.88,4,1,1,2,5,1998,Simplicity,concrete,0.5,no elevator,no subway,6,16.93150298744753
48,116.559275,40.113935,2017-01-22,659.0,530.0,203.07,6,2,1,2,6,1998,hardcover,steel-concrete composite,0.5,no elevator,no subway,13,26.668466693137113
49,116.474383,39.902184000000005,2016-06-29,451.0,406.0,63.86,1,1,1,1,16,2007,hardcover,steel-concrete composite,0.25,has elevator,has subway,7,5.718112942372964
50,116.384103,39.972885,2016-08-15,498.0,642.0,71.6,2,1,1,1,13,1993,other,mixed,0.222,has elevator,no subway,10,7.891482769095171
51,116.497474,39.810115,2016-07-07,459.0,165.0,55.48,1,1,1,1,24,2009,hardcover,steel-concrete composite,0.25,has elevator,has subway,3,12.983179602029358
52,116.403304,39.891691,2016-08-31,511.0,400.0,59.81,1,1,1,1,9,2002,hardcover,steel-concrete composite,0.1669999999999999,has elevator,has subway,10,1.4341567694875548
53,116.386555,40.0865,2016-07-28,474.0,200.0,48.0,1,0,1,1,9,2009,hardcover,steel-concrete composite,0.3329999999999999,has elevator,no subway,6,20.34848669238492
54,116.364028,39.870465,2016-06-27,442.0,200.0,41.4,1,1,1,1,6,1990,Simplicity,mixed,0.3329999999999999,no elevator,no subway,2,5.269266987751686
55,116.483319,39.915337,2016-07-23,466.0,300.0,68.48,3,1,1,1,14,1994,hardcover,steel-concrete composite,0.143,has elevator,has subway,7,6.592698955452644
56,116.516087,39.923147,2016-07-27,469.0,225.0,55.0,1,0,1,1,9,2005,hardcover,steel-concrete composite,0.25,has elevator,no subway,7,9.50609478948705
57,116.555729,40.162058,2016-08-10,481.0,395.0,88.0,3,4,1,3,6,2009,Simplicity,concrete,0.5,no elevator,no subway,13,31.33041182444623
58,116.444356,39.932936,2016-12-29,622.0,392.5,46.96,1,0,1,1,17,2003,hardcover,steel-concrete composite,0.4,has elevator,has subway,7,4.488097011480343
59,116.517555,39.872965,2016-07-17,456.0,200.0,59.87,2,1,1,1,6,1984,hardcover,mixed,0.3329999999999999,no elevator,no subway,7,10.019563750858865
60,116.472165,39.903144,2016-08-13,482.0,300.0,59.89,2,1,1,1,6,1992,hardcover,mixed,0.3329999999999999,no elevator,has subway,7,5.525728590297588
61,116.471754,40.02946,2016-09-12,513.0,510.0,67.7,1,2,1,1,28,2009,Simplicity,steel-concrete composite,0.3329999999999999,has elevator,has subway,7,14.969152583476014
62,116.249496,40.221791,2016-08-08,477.0,102.0,42.0,1,1,1,1,6,1989,Simplicity,mixed,0.3329999999999999,no elevator,has subway,6,37.784829612427
63,116.309431,39.842691,2016-07-06,444.0,288.0,69.02,1,1,1,1,26,2006,Simplicity,steel-concrete composite,0.3,has elevator,has subway,2,10.801682394236982
64,116.330357,39.692063,2016-09-07,506.0,468.0,212.0,4,2,1,1,15,2014,rough,steel-concrete composite,0.5,has elevator,has subway,4,24.48964829924712
65,116.43164,39.904426,2016-07-30,466.0,450.0,75.3,2,1,1,1,16,2006,rough,steel-concrete composite,0.25,has elevator,has subway,1,2.0678152602189854
66,116.4388,40.054941,2016-07-21,454.0,475.0,67.49,2,1,1,2,17,2012,hardcover,steel-concrete composite,0.174,has elevator,has subway,7,16.973838291632624
67,116.457699,39.944441,2016-06-20,421.0,240.0,60.0,1,0,1,1,5,2010,hardcover,steel-concrete composite,0.128,has elevator,has subway,7,6.198351308783434
68,116.425063,40.044097,2016-12-18,598.0,202.0,51.0,1,1,1,1,13,2011,Simplicity,steel-concrete composite,0.182,has elevator,has subway,7,15.628500085087369
69,116.334817,39.884391,2016-07-03,430.0,240.0,34.0,1,1,1,2,18,2009,hardcover,steel-concrete composite,0.222,has elevator,no subway,10,6.57230141829985
70,116.22946,40.228274,2016-09-21,509.0,265.0,86.7,2,1,1,1,6,1996,hardcover,concrete,0.3329999999999999,no elevator,has subway,6,39.08757969948322
71,116.509143,39.925387,2016-07-19,443.0,355.0,86.78,2,2,1,1,33,2011,Simplicity,steel-concrete composite,0.3,has elevator,has subway,7,8.991436209736952
72,116.474014,39.913424,2016-10-29,545.0,389.0,61.0,2,1,1,1,14,1985,Simplicity,steel-concrete composite,0.125,has elevator,has subway,7,5.773608228507173
73,116.606151,40.051276,2017-01-22,629.0,300.0,103.0,3,1,1,1,6,1998,hardcover,mixed,0.5,no elevator,no subway,7,23.54268106174247
74,116.399693,39.972072,2016-09-11,495.0,509.0,75.21,2,1,1,1,16,1992,hardcover,steel-concrete composite,0.158,has elevator,has subway,7,7.57558171253413
75,116.560389,40.094933000000005,2016-09-04,487.0,340.0,136.0,3,2,1,2,6,2000,Simplicity,mixed,0.5,no elevator,has subway,13,24.89235084727356
76,116.368804,39.873549,2016-07-13,433.0,307.0,60.0,2,1,1,1,6,1989,Simplicity,mixed,0.5,no elevator,no subway,2,4.739168754904033
77,116.154608,39.726495,2016-07-27,446.0,199.5,90.0,2,1,1,1,15,2010,rough,steel-concrete composite,0.25,has elevator,no subway,5,29.268167590267897
78,116.16608,39.771077000000005,2016-09-30,511.0,210.5,65.0,1,1,1,1,11,2011,hardcover,steel-concrete composite,0.1669999999999999,has elevator,no subway,5,25.370513788651518
79,116.422211,40.011387,2016-07-24,442.0,298.0,85.0,1,1,1,1,22,2009,other,steel-concrete composite,0.19,has elevator,has subway,7,11.985332930608813
80,116.60503500000002,40.051164,2016-09-19,499.0,230.0,89.0,3,1,1,1,6,1992,other,concrete,0.5,no elevator,no subway,7,23.465705741733938
81,116.259318,40.217911,2016-07-08,424.0,257.0,110.0,2,1,1,1,6,1996,other,mixed,0.5,no elevator,no subway,6,37.089766345655235
82,116.227892,39.780755,2016-09-26,503.0,296.0,107.0,3,1,1,1,6,2003,Simplicity,mixed,0.5,no elevator,no subway,5,20.574135929810026
83,116.238792,39.852889000000005,2016-07-11,423.0,208.0,66.48,1,1,1,1,6,2004,other,mixed,0.5,no elevator,no subway,2,15.4776009436301
84,116.47773,40.002156,2016-09-07,479.0,650.0,132.0,4,1,1,2,26,1997,hardcover,steel-concrete composite,0.25,has elevator,has subway,7,12.432965417247983
85,116.508181,39.807662,2016-08-27,468.0,127.0,47.38,1,1,0,1,16,2008,Simplicity,steel-concrete composite,0.2,has elevator,has subway,3,13.756308777661921
86,116.508181,39.807662,2016-08-29,470.0,145.0,53.17,1,1,0,0,16,2008,Simplicity,steel-concrete composite,0.2,has elevator,has subway,3,13.756308777661921
87,116.437251,39.962363,2016-06-28,408.0,270.0,52.64,2,1,1,1,5,1979,hardcover,mixed,0.3329999999999999,no elevator,has subway,7,6.950238324865737
88,116.351677,39.980567,2016-08-24,463.0,348.0,60.0,1,1,1,1,18,1998,Simplicity,steel-concrete composite,0.2,has elevator,has subway,8,9.730115985444291
89,116.364028,39.870465,2016-07-11,420.0,248.0,55.0,2,1,1,1,6,1990,hardcover,mixed,0.5,no elevator,no subway,2,5.269266987751686
90,116.471203,39.876684,2016-09-05,471.0,475.0,135.83,3,1,1,2,22,1998,Simplicity,steel-concrete composite,0.25,has elevator,has subway,7,6.244422326363025
91,116.164506,39.731851,2016-08-23,457.0,188.0,87.04,2,1,1,1,6,2004,Simplicity,mixed,0.5,no elevator,has subway,5,28.242157908688164
92,116.268601,39.933567,2016-06-26,399.0,610.0,93.91,2,2,1,2,9,2003,hardcover,steel-concrete composite,0.3329999999999999,has elevator,no subway,8,12.279144122721041
93,116.511545,39.904464,2016-12-30,581.0,210.0,50.0,1,1,1,1,17,2010,hardcover,steel-concrete composite,0.105,has elevator,has subway,7,8.88357347217217
94,116.342088,39.749733,2016-06-19,385.0,220.0,73.21,2,1,1,1,6,1992,hardcover,mixed,0.5,no elevator,has subway,4,18.05881805667676
95,116.250662,39.910338,2016-07-12,409.0,283.0,64.15,2,1,1,1,5,1981,hardcover,mixed,0.3329999999999999,no elevator,has subway,9,13.386522207736677
96,116.227892,39.780755,2016-08-17,443.0,210.0,94.0,2,2,1,1,6,2005,other,mixed,0.5,no elevator,no subway,5,20.574135929810026
97,116.28592,39.935122,2016-07-06,400.0,580.0,124.7,3,2,1,1,6,1998,Simplicity,mixed,0.5,no elevator,no subway,8,10.915557770463634
98,116.451239,39.960643,2016-07-26,420.0,677.0,166.1,3,1,1,1,14,2002,Simplicity,steel-concrete composite,0.2,has elevator,no subway,7,7.304962676058746
99,116.117019,39.93386,2016-08-31,455.0,153.0,63.09,2,1,1,1,6,1990,hardcover,mixed,0.3329999999999999,no elevator,no subway,12,24.982702656301523
